 #layer COS O3 O2 NO2 NO HSO HO2 HSO2 HSO3 CS2 CH4O3S CO H O N SO3 SO2 SO4 CS N2 CO2 OH H2 H2SO4 S H2S H2O SH SO CH3SCH3
   11  0.70384111E-001  0.33108523E+013  0.11460427E+019  0.18012179E+010  0.00000000E+000  0.67073177E-013  0.13104201E+009  0.10644387E-016  0.12654391E-008  0.11922892E-030  0.00000000E+000  0.56250868E+012  0.00000000E+000  0.52337002E+010  0.00000000E+000  0.37082400E-001  0.93805507E+004  0.19252373E+012  0.28555922E-032  0.46330268E+019  0.17485568E+016  0.48755556E+005  0.00000000E+000  0.23357740E+011  0.19773465E-018  0.90514931E-005  0.10817688E+017  0.17630187E-011  0.14474881E-006  0.20377179E-044
   12  0.16408730E-001  0.28756661E+013  0.99540236E+018  0.15644616E+010  0.00000000E+000  0.70334522E-014  0.11381744E+009  0.16292718E-016  0.10844537E-008  0.25196944E-034  0.00000000E+000  0.48857031E+012  0.00000000E+000  0.45457806E+010  0.00000000E+000  0.32774043E-001  0.16188418E+005  0.17071054E+012  0.59591366E-036  0.40240439E+019  0.15187197E+016  0.21693218E+005  0.00000000E+000  0.13814964E+011  0.38861588E-018  0.99103092E-006  0.93957668E+016  0.20227906E-012  0.13901520E-005  0.42182523E-046
   13  0.28035818E-002  0.24953927E+013  0.86376865E+018  0.13575800E+010  0.00000000E+000  0.51577331E-015  0.98766228E+008  0.10273527E-017  0.75832086E-010  0.33554311E-038  0.00000000E+000  0.42396086E+012  0.00000000E+000  0.39446739E+010  0.00000000E+000  0.12515080E-002  0.11521362E+004  0.15445533E+012  0.78415645E-040  0.34918980E+019  0.13178816E+016  0.19120644E+005  0.00000000E+000  0.12147338E+005  0.42634373E-018  0.74064397E-007  0.81532511E+016  0.16232376E-013  0.71602747E-006  0.16443710E-047
   14  0.39231245E-003  0.21660306E+013  0.74975623E+018  0.11783959E+010  0.00000000E+000  0.30707385E-016  0.85729972E+008  0.54371919E-019  0.44970798E-011  0.33779760E-042  0.00000000E+000  0.36800038E+012  0.00000000E+000  0.34240550E+010  0.00000000E+000  0.67339565E-004  0.68898355E+002  0.12624553E+012  0.77998401E-044  0.30309885E+019  0.11439289E+016  0.17050931E+005  0.00000000E+000  0.30900720E+003  0.30946931E-018  0.43711887E-008  0.70770640E+016  0.10566914E-014  0.24742466E-006  0.53494089E-049
   15  0.52381561E-004  0.18807025E+013  0.65098523E+018  0.10231679E+010  0.00000000E+000  0.18365960E-017  0.74436516E+008  0.29034066E-020  0.27167795E-012  0.31358464E-046  0.00000000E+000  0.31952078E+012  0.00000000E+000  0.29730487E+010  0.00000000E+000  0.36483559E-005  0.41617405E+001  0.10025093E+012  0.71536458E-048  0.26316947E+019  0.99323057E+015  0.15370591E+005  0.00000000E+000  0.32395917E+003  0.17800569E-018  0.24278657E-009  0.61447425E+016  0.69113300E-016  0.70772076E-007  0.17453791E-050
   16  0.69214833E-005  0.16365516E+013  0.56646740E+018  0.89034178E+009  0.00000000E+000  0.12738293E-018  0.64772824E+008  0.20211070E-021  0.18756402E-013  0.29164794E-050  0.00000000E+000  0.27803701E+012  0.00000000E+000  0.25871357E+010  0.00000000E+000  0.22966146E-006  0.28970328E+000  0.78094317E+011  0.69401339E-052  0.22900211E+019  0.86427878E+015  0.14008632E+005  0.00000000E+000  0.28523037E+003  0.86274871E-019  0.13256864E-010  0.53469587E+016  0.54089646E-017  0.18639131E-007  0.13961534E-051
   17  0.96173400E-006  0.14272801E+013  0.49402341E+018  0.77649114E+009  0.00000000E+000  0.11249126E-019  0.56489665E+008  0.37583048E-022  0.34671215E-014  0.29647125E-054  0.00000000E+000  0.24247943E+012  0.00000000E+000  0.22563560E+010  0.00000000E+000  0.38556433E-007  0.53870761E-001  0.59391753E+011  0.40686870E-054  0.19971576E+019  0.75374849E+015  0.12858633E+005  0.00000000E+000  0.24895111E+003  0.40848829E-019  0.74900530E-012  0.46631424E+016  0.53748907E-018  0.11259040E-007  0.29767217E-052
   18  0.14331674E-006  0.12408818E+013  0.42949803E+018  0.67508431E+009  0.00000000E+000  0.13023825E-020  0.49111879E+008  0.45314329E-022  0.41526951E-014  0.34791537E-058  0.00000000E+000  0.21080854E+012  0.00000000E+000  0.19617273E+010  0.00000000E+000  0.41725319E-007  0.64952052E-001  0.44290189E+011  0.59626141E-055  0.17363059E+019  0.65529988E+015  0.11785473E+005  0.00000000E+000  0.21641633E+003  0.56526980E-019  0.43219695E-013  0.40540724E+016  0.69915123E-019  0.38871147E-007  0.41280382E-052
   19  0.22883612E-007  0.10813557E+013  0.37427558E+018  0.58829677E+009  0.00000000E+000  0.18660610E-021  0.42797747E+008  0.83376902E-022  0.75644398E-014  0.49364312E-062  0.00000000E+000  0.18370380E+012  0.00000000E+000  0.17095703E+010  0.00000000E+000  0.68863013E-007  0.11950863E+000  0.32937418E+011  0.95209683E-056  0.15130624E+019  0.57104507E+015  0.10812367E+005  0.00000000E+000  0.18852724E+003  0.49935697E-018  0.24045088E-014  0.35328154E+016  0.11166165E-019  0.18195236E-006  0.87156857E-052
   20  0.38184744E-008  0.94355480E+012  0.32657456E+018  0.51332844E+009  0.00000000E+000  0.30195491E-022  0.37343563E+008  0.15622482E-021  0.13954226E-013  0.87806634E-066  0.00000000E+000  0.16029081E+012  0.00000000E+000  0.14917482E+010  0.00000000E+000  0.11527482E-006  0.22392297E+000  0.24394848E+011  0.15888314E-056  0.13202250E+019  0.49826599E+015  0.98946854E+004  0.00000000E+000  0.16437952E+003  0.49166533E-017  0.11886179E-015  0.30825559E+016  0.20003064E-020  0.78399949E-006  0.18715363E-051
   21  0.62078324E-009  0.82233710E+012  0.28461498E+018  0.44738186E+009  0.00000000E+000  0.50549395E-023  0.32545801E+008  0.32730408E-021  0.24878937E-013  0.19516390E-069  0.00000000E+000  0.13969591E+012  0.00000000E+000  0.13001331E+010  0.00000000E+000  0.19160568E-006  0.41472576E+000  0.17880678E+011  0.39857447E-057  0.11505980E+019  0.43424681E+015  0.90038592E+004  0.00000000E+000  0.14303942E+003  0.38951697E-016  0.47698879E-017  0.26864920E+016  0.37842886E-021  0.29225854E-005  0.84798251E-051
   22  0.94210777E-010  0.71541159E+012  0.24760359E+018  0.38921066E+009  0.00000000E+000  0.80182869E-024  0.28313771E+008  0.67050385E-021  0.43160968E-013  0.54225737E-073  0.00000000E+000  0.12152974E+012  0.00000000E+000  0.11311049E+010  0.00000000E+000  0.31382728E-006  0.75189262E+000  0.13061709E+011  0.92965580E-058  0.10009746E+019  0.37777726E+015  0.81420125E+004  0.00000000E+000  0.12404712E+003  0.26066642E-015  0.15046941E-018  0.23371360E+016  0.67383483E-022  0.99018136E-005  0.37422607E-050
   23  0.12996379E-010  0.62621028E+012  0.21672787E+018  0.34068200E+009  0.00000000E+000  0.11612083E-024  0.24783283E+008  0.13385016E-020  0.72635796E-013  0.18589730E-076  0.00000000E+000  0.10637512E+012  0.00000000E+000  0.99009162E+009  0.00000000E+000  0.49579237E-006  0.13298291E+001  0.95207992E+010  0.19632645E-058  0.87615528E+018  0.33066911E+015  0.73759576E+004  0.00000000E+000  0.10790670E+003  0.14698037E-014  0.37474446E-020  0.20456960E+016  0.10826827E-022  0.30410329E-004  0.15905861E-049
